strain,point,bioYield,tyrYield
By4743 wt,1,0,0.135952853522934
By4743 wt,2,0.00680940641850726,0.122358927699177
By4743 wt,3,0.0136188128370145,0.108765001875419
By4743 wt,4,0.0204282192555218,0.0951710760516613
By4743 wt,5,0.027237625674029,0.0815771502279018
By4743 wt,6,0.0340470320925363,0.0679832244041432
By4743 wt,7,0.0408564385110435,0.0543892985803878
By4743 wt,8,0.0476658449295508,0.0407953727566223
By4743 wt,9,0.054475251348058,0.0272014469328694
By4743 wt,10,0.0612846577665653,0.0136075211091123
By4743 wt,11,0.0680940641850726,1.35952853522326e-05
ByTOH1,1,0,0.135952853522934
ByTOH1,2,0.00571429326000229,0.12454515159747
ByTOH1,3,0.0114285865200046,0.113137449672004
ByTOH1,4,0.0171428797800069,0.101729747746544
ByTOH1,5,0.0228571730400092,0.0903220458210806
ByTOH1,6,0.0285714663000115,0.078914343895617
ByTOH1,7,0.0342857595600138,0.0675066419701518
ByTOH1,8,0.0400000528200161,0.0560989400446838
ByTOH1,9,0.0457143460800183,0.0446912381192241
ByTOH1,10,0.0514286393400206,0.0332835361937603
ByTOH1,11,0.0571429326000229,7.77975773213806e-05
ByTOH2,1,0,0.135952853522934
ByTOH2,2,0.00568274431902686,0.124608134174378
ByTOH2,3,0.0113654886380537,0.113263414825819
ByTOH2,4,0.0170482329570806,0.10191869547726
ByTOH2,5,0.0227309772761074,0.0905739761287037
ByTOH2,6,0.0284137215951343,0.0792292567801437
ByTOH2,7,0.0340964659141612,0.067884537431586
ByTOH2,8,0.039779210233188,0.0565398180830301
ByTOH2,9,0.0454619545522149,0.0451950987344713
ByTOH2,10,0.0511446988712418,0.0338503793859131
ByTOH2,11,0.0568274431902686,7.75748761663771e-05
ByTOH3,1,0,0.135952853522934
ByTOH3,2,0.00568274431902685,0.124608134174377
ByTOH3,3,0.0113654886380537,0.113263414825817
ByTOH3,4,0.0170482329570806,0.101918695477261
ByTOH3,5,0.0227309772761074,0.0905739761287029
ByTOH3,6,0.0284137215951343,0.0792292567801414
ByTOH3,7,0.0340964659141611,0.0678845374315857
ByTOH3,8,0.039779210233188,0.0565398180830308
ByTOH3,9,0.0454619545522148,0.0451950987344697
ByTOH3,10,0.0511446988712417,0.0338503793859126
ByTOH3,11,0.0568274431902685,7.75748761711957e-05
ByTOH4,1,0,0.135952853522934
ByTOH4,2,0.00568274431902683,0.124608134174374
ByTOH4,3,0.0113654886380537,0.113263414825819
ByTOH4,4,0.0170482329570805,0.10191869547726
ByTOH4,5,0.0227309772761073,0.0905739761287022
ByTOH4,6,0.0284137215951342,0.0792292567801444
ByTOH4,7,0.034096465914161,0.0678845374315844
ByTOH4,8,0.0397792102331878,0.0565398180830328
ByTOH4,9,0.0454619545522146,0.0451950987344724
ByTOH4,10,0.0511446988712415,0.0338503793859128
ByTOH4,11,0.0568274431902683,7.75748761765332e-05
ByTOH5,1,0,0.135952853522934
ByTOH5,2,0.00568274431902685,0.124608134174377
ByTOH5,3,0.0113654886380537,0.11326341482582
ByTOH5,4,0.0170482329570805,0.101918695477261
ByTOH5,5,0.0227309772761074,0.0905739761287012
ByTOH5,6,0.0284137215951342,0.0792292567801415
ByTOH5,7,0.0340964659141611,0.0678845374315868
ByTOH5,8,0.0397792102331879,0.0565398180830251
ByTOH5,9,0.0454619545522148,0.0451950987344685
ByTOH5,10,0.0511446988712416,0.0338503793859119
ByTOH5,11,0.0568274431902685,7.75748761661696e-05
ByTOH6,1,0,0.135952853522934
ByTOH6,2,0.00554827721781569,0.124629312432724
ByTOH6,3,0.0110965544356314,0.11330576130839
ByTOH6,4,0.0166448316534471,0.10198221520112
ByTOH6,5,0.0221931088712628,0.0906586690938465
ByTOH6,6,0.0277413860890785,0.0793351229865684
ByTOH6,7,0.0332896633068942,0.0680115768792995
ByTOH6,8,0.0388379405247098,0.0566880307720294
ByTOH6,9,0.0443862177425255,0.0453644846647568
ByTOH6,10,0.0499344949603412,0.0340409385574866
ByTOH6,11,0.0554827721781569,7.75748761597211e-05
ByTOH7,1,0,0.135952853522934
ByTOH7,2,0.00554827721781573,0.124629307415662
ByTOH7,3,0.0110965544356315,0.113305761308388
ByTOH7,4,0.0166448316534472,0.101982215201117
ByTOH7,5,0.0221931088712629,0.0906586690938456
ByTOH7,6,0.0277413860890786,0.079335122986576
ByTOH7,7,0.0332896633068944,0.0680115768793017
ByTOH7,8,0.0388379405247101,0.0566880307720309
ByTOH7,9,0.0443862177425258,0.0453644846647586
ByTOH7,10,0.0499344949603416,0.0340409385574853
ByTOH7,11,0.0554827721781573,7.75748761653474e-05
ByTOH8,1,0,0.135952853522934
ByTOH8,2,0.00554827721781573,0.124629307415662
ByTOH8,3,0.0110965544356315,0.113305761308388
ByTOH8,4,0.0166448316534472,0.101982215201117
ByTOH8,5,0.0221931088712629,0.0906586690938456
ByTOH8,6,0.0277413860890786,0.079335122986576
ByTOH8,7,0.0332896633068944,0.0680115768793025
ByTOH8,8,0.0388379405247101,0.0566880307720309
ByTOH8,9,0.0443862177425258,0.0453644846647586
