strain,point,bioYield,tyrYield
By4743 wt,1,0,0.433798697622084
By4743 wt,2,0.048366326532063,0.390441118137777
By4743 wt,3,0.0967326530641259,0.34708353865347
By4743 wt,4,0.145098979596189,0.3037292200024
By4743 wt,5,0.193465306128252,0.260371898747161
By4743 wt,6,0.241831632660315,0.216996381495326
By4743 wt,7,0.290197959192378,0.173635918269976
By4743 wt,8,0.338564285724441,0.130275455044622
By4743 wt,9,0.386930612256504,0.0869149918192701
By4743 wt,10,0.435296938788567,0.0435545285939211
By4743 wt,11,0.48366326532063,4.36255042531024e-05
ByTOH1,1,0,0.433798697622084
ByTOH1,2,0.0354123722999043,0.40205357954488
ByTOH1,3,0.0708247445998086,0.370308461467675
ByTOH1,4,0.106237116899713,0.33778697069663
ByTOH1,5,0.141649489199617,0.292487326203024
ByTOH1,6,0.177061861499521,0.244660751373851
ByTOH1,7,0.212474233799426,0.196285284146609
ByTOH1,8,0.24788660609933,0.147531627409089
ByTOH1,9,0.283298978399234,0.098471972604654
ByTOH1,10,0.318711350699139,0.049260594452215
ByTOH1,11,0.354123722999043,4.92162997743063e-05
ByTOH2,1,0,0.433798697622084
ByTOH2,2,0.0351579202223288,0.402281680932135
ByTOH2,3,0.0703158404446576,0.370764664242186
ByTOH2,4,0.105473760666986,0.337304635412142
ByTOH2,5,0.140631680889315,0.291392061741261
ByTOH2,6,0.175789601111644,0.243758982137245
ByTOH2,7,0.210947521333973,0.195431120719131
ByTOH2,8,0.246105441556302,0.146901484276893
ByTOH2,9,0.281263361778631,0.0980226051353111
ByTOH2,10,0.316421282000959,0.0490357984205977
ByTOH2,11,0.351579202223288,4.89917058827185e-05
ByTOH3,1,0,0.433798697622084
ByTOH3,2,0.0351579202223289,0.402281680932135
ByTOH3,3,0.0703158404446577,0.370760785703242
ByTOH3,4,0.105473760666987,0.337296280811609
ByTOH3,5,0.140631680889315,0.291392061741261
ByTOH3,6,0.175789601111644,0.243758982137245
ByTOH3,7,0.210947521333973,0.195447969368788
ByTOH3,8,0.246105441556302,0.146901484276894
ByTOH3,9,0.281263361778631,0.0980226051353074
ByTOH3,10,0.31642128200096,0.0490357984205965
ByTOH3,11,0.351579202223289,4.899170588158e-05
ByTOH4,1,0,0.433798697622084
ByTOH4,2,0.0351579202223289,0.402281680932135
ByTOH4,3,0.0703158404446577,0.370764664242186
ByTOH4,4,0.105473760666987,0.337304635412142
ByTOH4,5,0.140631680889315,0.291392061741261
ByTOH4,6,0.175789601111644,0.243758982137245
