variable,time_h,value_gL,sd_gL
glucose,0,74.6425,0.2648
glucose,3,74.1158,0.3833
glucose,4,75.2024,0.8361
glucose,16,74.826,0.8836
glucose,18,74.4715,0.6419
glucose,23,75.2667,1.3979
glucose,24,76.4789,2.4683
glucose,38,73.1641,0.8039
glucose,39,73.0177,0.2125
glucose,44,72.306,0.786
glucose,45,71.3318,0.4349
glucose,46,71.7131,1.6381
glucose,48,71.2666,2.0598
glucose,51,70.0346,3.3744
glucose,52,68.3822,0.7514
glucose,62,63.6437,4.0806
glucose,63,59.5726,3.4382
glucose,65,57.9403,2.5406
glucose,66,56.8903,2.9956
glucose,69,53.2381,3.1183
glucose,72,51.531,3.8081
glucose,91,31.7826,11.3933
glucose,92,18.9153,3.0891
glucose,93,18.4741,3.2639
glucose,167,0,0
biomass,0,0.0531,0.0013
biomass,3,0.0558,0.0013
biomass,4,0.0594,0.0022
biomass,14,0.0675,0.0022
biomass,16,0.0711,0.0034
biomass,18,0.0775,0.0026
biomass,21,0.0784,0.0022
biomass,23,0.0829,0.0034
biomass,24,0.0829,0.0034
biomass,26,0.0847,0.0046
biomass,38,0.1362,0.0178
biomass,39,0.1389,0.0191
biomass,41,0.1434,0.0197
biomass,42,0.1516,0.0211
biomass,44,0.167,0.0226
biomass,45,0.1769,0.0257
biomass,46,0.1877,0.0256
biomass,48,0.2022,0.0281
biomass,51,0.2727,0.059
biomass,52,0.3034,0.0503
biomass,62,0.6505,0.0959
biomass,63,0.6686,0.1087
biomass,65,0.7364,0.0895
biomass,66,0.7726,0.0673
biomass,69,0.8901,0.0639
biomass,72,0.8901,0.0639
biomass,91,1.4189,0.0461
biomass,92,1.4641,0.0586
biomass,93,1.4397,0.0404
biomass,165,1.2381,0.0256
biomass,167,1.2381,0.0256
tyrosol,0,0.00328,0.00018
tyrosol,16,0.00511,0.00037
tyrosol,18,0.0049,0.0003
tyrosol,23,0.00601,0.00042
tyrosol,24,0.00762,0.00042
tyrosol,38,0.01587,0.00222
tyrosol,42,0.02043,0.00287
tyrosol,46,0.02492,0.00406
tyrosol,48,0.02515,0.00524
tyrosol,65,0.12111,0.02681
tyrosol,66,0.10944,0.02221
tyrosol,92,0.26799,0.0345
tyrosol,93,0.26127,0.03771
tyrosol,165,0.7061,0.00873
tyrosol,167,0.87691,0.01663
ethanol,0,1.77920543279403,0.264980203612571
ethanol,3,1.96594915615619,0.403699544628502
ethanol,4,2.26021961974509,0.495276774117997
ethanol,16,1.47820785560169,1.01745956766771
ethanol,18,3.56217527414465,2.06788212568176
ethanol,23,1.31861204758993,0.297381823126594
ethanol,24,2.44564983703478,0.555549318475817
ethanol,38,3.29002869429158,1.62724284053331
ethanol,39,2.57578523597771,0.716691869284179
ethanol,44,3.52077452678132,1.01065629950153
ethanol,45,3.84175616064778,1.06493478472359
ethanol,46,3.6162402514191,0.27766858618595
ethanol,48,4.40624305597905,1.68915681761729
ethanol,51,4.22024250505658,2.20398886208417
ethanol,52,2.94124669579364,0.810675779464868
ethanol,62,6.67308512200227,1.65411550542998
ethanol,63,7.15842458288139,1.41549232623283
ethanol,65,8.05141022297829,1.84615190931351
ethanol,66,8.71771828425581,1.99818678851642
ethanol,69,10.700305929981,2.34845751510126
ethanol,72,11.6394064786848,2.41416561082297
ethanol,91,24.6185820931381,1.98959201036428
ethanol,92,24.7641139179129,1.85996643661491
ethanol,93,25.2116331835651,2.01858746523144
ethanol,167,34.0188583852251,1.38614439363258
