variable,time_h,value_gL,sd_gL
glucose,0,75.44207303310301,1.7202603383872794
glucose,3,75.8417422043192,1.1434260728162327
glucose,4,77.13702008658943,2.9644087807362625
glucose,5,74.56263243925827,1.4234076697305098
glucose,7,74.14283182887183,0.847884201623836
glucose,9,72.89942846136337,0.8285551378159681
glucose,10,74.68114410510474,1.3761213852890912
glucose,13,72.54173983065454,1.6915118531950857
glucose,24,62.354649442938154,1.6796343508329035
glucose,25,60.89993827646199,1.579448227686455
glucose,28,56.83399342745189,1.312748318313161
glucose,31,56.591296425979856,2.957906292400282
glucose,32,54.8359378773128,1.144728581805379
glucose,34,40.190666666666665,0.5063355957816444
glucose,48,37.958529703083144,0.4338121907994556
glucose,51,37.651833333333336,0.28858050677218056
biomass,0,0.053963174878650655,0.0
biomass,1,0.057578797986097933,0.0033821057269426665
biomass,3,0.06752176153157795,0.002214107928865486
biomass,4,0.07475300774647252,0.003382105726942667
biomass,5,0.08288815973822888,0.0033821057269426656
biomass,7,0.10458189838291257,0.003382105726942672
biomass,9,0.12808344858131987,0.004609033194667671
biomass,10,0.14435375256483265,0.006764211453885344
biomass,13,0.2022037222839891,0.013528422907770666
biomass,24,0.9759470672777071,0.022141079288654938
biomass,25,1.0030642405835617,0.022141079288654893
biomass,28,1.0934548182697434,0.051132632349815
biomass,31,1.0844157605011253,0.03834947426236125
biomass,32,1.1024938760383618,0.04609033194667668
biomass,34,1.1296110493442164,0.04609033194667668
biomass,48,1.1748063381873075,0.03382105726942678
biomass,51,1.1748063381873075,0.03382105726942678
tyrosol,0,0.0,0.0
tyrosol,4,3.13309612e-06,1.4349389268770095e-07
tyrosol,5,5.925333333333333e-06,5.502516595966688e-07
tyrosol,7,1.2598666666666667e-05,1.0456683136741897e-07
tyrosol,9,1.9124e-05,2.085953658801331e-06
tyrosol,10,1.9124000000000002e-05,1.306128120310818e-06
tyrosol,13,3.2752e-05,2.0578065992702017e-06
tyrosol,24,0.00015369399999999998,1.8144360078731525e-05
tyrosol,25,0.000229832,4.253730184203036e-05
tyrosol,28,0.0005103746666666666,7.162537938158204e-05
tyrosol,31,0.0006810146666666667,7.556047161196274e-05
tyrosol,32,0.000827286,7.51818793238548e-05
tyrosol,34,0.0010164153333333333,9.81278126300365e-05
tyrosol,48,0.0037753842,7.630861481169723e-05
tyrosol,72,0.006387886,0.00015750097058748599
ethanol,0,0.19104403551032578,0.2701770660291899
ethanol,3,0.1814315123025957,0.25658290534019185
ethanol,4,0,0.0
ethanol,5,0,0.0
ethanol,7,1.6293734680211565,0.47865633452906736
ethanol,9,1.6230128622064888,0.5172780474331561
ethanol,10,1.448485261768984,0.1950651211548526
ethanol,13,2.2666521843459035,0.17273477391140743
ethanol,24,6.06142304494474,0.45732227463839054
ethanol,25,6.855638365047758,0.40337806189169567
ethanol,28,8.611622112241704,0.4594369684180057
ethanol,31,9.111656486862989,0.9183750071673032
ethanol,32,9.812196960922183,0.65894193622095
ethanol,34,11.529450133333334,2.384618768555378
ethanol,48,16.112154212151,1.4106270208061955
ethanol,51,16.754488733333332,1.0743608007180245
