strain,rep,bioYield,tyrYield
By4743 wt,R1,0.0338896873389918,0.0006404965
By4743 wt,R2,0.0311779700084063,0.0005923084
By4743 wt,R3,0.0332117580063454,0.00067427475
ByTOH1,R1,0.0372793340022236,0.00083530405
ByTOH1,R2,0.0372793340022236,0.000825124875
ByTOH1,R3,0.03795726333487,0.000828725975
ByTOH2,R1,0.0366014046695772,0.001544318475
ByTOH2,R2,0.0372793340022236,0.0015692943125
ByTOH2,R3,0.0372793340022236,0.0016282068225
ByTOH3,R1,0.0393131220001627,0.007307572
ByTOH3,R2,0.0366014046695772,0.006383041
ByTOH3,R3,0.0372793340022236,0.006815329
ByTOH4,R1,0.03795726333487,0.008260442
ByTOH4,R2,0.0372793340022236,0.008517374
ByTOH4,R3,0.0393131220001627,0.008109676
ByTOH5,R1,0.0372793340022236,0.007315519
ByTOH5,R2,0.0399910513328091,0.007201396
ByTOH5,R3,0.0366014046695772,0.006123738
ByTOH6,R1,0.0433806979960409,0.008036495
ByTOH6,R2,0.0413469099981018,0.007654223
ByTOH6,R3,0.0420248393307482,0.008457557
ByTOH7,R1,0.0271103940125281,0.007510442
ByTOH7,R2,0.025076606014589,0.008517374
ByTOH7,R3,0.0230428180166499,0.008109676
ByTOH8,R1,0.0169414540228327,0.0056861425
ByTOH8,R2,0.0149076660248936,0.00580641125
ByTOH8,R3,0.0155855953575399,0.004562865
ByTOH9,R1,0.0345676166716382,0.01331137435
ByTOH9,R2,0.0318558993410527,0.014211355375
ByTOH9,R3,0.0345676166716382,0.01416131175
ByTOH10,R1,0.0311779700084063,0.018301738
ByTOH10,R2,0.0332117580063454,0.019709608
ByTOH10,R3,0.0338896873389918,0.021143617
ByTOHdef,R1,0.0399910513328091,0.021458835
ByTOHdef,R2,0.0440586273286873,0.022388365
ByTOHdef,R3,0.04541448599398,0.0231254075
