genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YCR105W	P25377	ADH7	39.34808	sce00010  Glycolysis / Gluconeogenesis sce00040  Pentose and glucuronate interconversions sce00561  Glycerolipid metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	1000	7451	1	17	0	essential_tightly_const	2	2.51136353787683e-08	2.51325242698184e-08	2.51136353787683e-08	2.51136353787708e-10	2.8798446859631e-10	2.51136353787708e-10	up_distinct	1
YDR380W	Q06408	ARO10	71.38357	sce00360  Phenylalanine metabolism	OE	1000	8031	1	6	0	essential_tightly_const	2	2.51136353787683e-08	2.5113686394579e-08	2.51136353787683e-08	2.51136353787708e-10	2.5123587453134e-10	2.51136353787708e-10	up_distinct	1
YBR166C	P20049	TYR1	50.92272	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	108.765147255088	7398	1	5	0	essential_tightly_const	2	9.62986315360856e-07	9.62989316480955e-07	9.62986315360856e-07	2.59659433214084e-08	2.59717978536338e-08	2.59659433214084e-08	up_distinct	1
YPR060C	P32178	ARO7	29.7468	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	47.0552991091955	7504	1	2	0	essential_tightly_const	2	7.09294094504798e-08	7.09296280901164e-08	7.09294094504798e-08	3.46175472132303e-09	3.46218123968042e-09	3.46175472132303e-09	up_distinct	1
YBR249C	P32449	ARO4	39.74874	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	41.2380758536298	7527	1	12	0	production_opt_tight	2	0	2.10453559485777e-07	2.10452912520218e-07	0	1.14006011897823e-08	1.13993391007411e-08	up_subset	2
YGL148W	P28777	ARO2	40.83793	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	41.2380758536298	7481	1	3	0	essential_tightly_const	2	2.9510916557361e-05	2.95110072785883e-05	2.9510916557361e-05	1.5984808239644e-06	1.59865780134197e-06	1.59848082396444e-06	up_distinct	1
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	41.2380758536298	7298	1	14	0	essential_tightly_const	2	1.62555164313763e-06	1.62555664034063e-06	1.62555164313763e-06	8.80492181552447e-08	8.80589666108857e-08	8.80492181552137e-08	up_distinct	1
YER062C	P40106	GPP2	27.8134	sce00561  Glycerolipid metabolism	OE	5.71785867738064	7746	1	7	0	production_opt	2	0	6.46087237367557e-06	2.61517617791391e-06	0	4.02522839179931e-06	7.63394448930781e-07	up_subset	2
YFL053W	P43550	DAK2	62.13397	sce00051  Fructose and mannose metabolism sce00561  Glycerolipid metabolism sce01200  Carbon metabolism	OE	5.71785867738064	7796	1	6	0	production_opt	2	0	3.00174881997507e-06	1.21502198961014e-06	0	1.87013825322375e-06	3.54676312070532e-07	up_subset	2
YOR120W	P14065	GCY1	35.07875	sce00561  Glycerolipid metabolism	OE	5.71785867738064	7348	1	5	0	essential	2	5.68926376570521e-05	0.000140554993583015	5.68926376572234e-05	1.66074944164328e-05	8.75680431461767e-05	1.66074944163798e-05	up_overlaped	2
YGL062W	P11154	PYC1	130.09827	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	1.64825279261541	7328	1	8	0	production_opt_tight	2	0	6.58461895828007e-07	6.58461895829127e-07	0	4.91287122258864e-07	4.91287122259079e-07	up_subset	2
YCR048W	P25628	ARE1	71.61215	sce00100  Steroid biosynthesis	KO	0.041500394545737	7459	1	96	0	biomass_coupled	0	0	0.00135773175241271	2.78779799464036e-12	0	0.00138363597774057	5.6603678069907e-12	down_subset	2
YMR319C	P40988	FET4	62.7913	sce00NNN  None	KO	0.0404404030325181	7774	0	3	1	unusable	0	0	0	0	0	0	0	Equal	3
YMR058W	P38993	FET3	72.35915	sce00NNN  None	KO	0.0404404030325181	7703	0	3	1	unusable	0	0	0	0	0	0	0	Equal	3
YDL052C	P33333	SLC1	33.88654	sce00561  Glycerolipid metabolism sce00564  Glycerophospholipid metabolism sce01110  Biosynthesis of secondary metabolites	KO	0.025813587085646	7574	1	28	0	unnecessary_prod	0	0	4.19204920250279e-07	0	0	8.51059329502474e-07	0	down_subset	2
YAL054C	Q01574	ACS1	79.13997	sce00010  Glycolysis / Gluconeogenesis sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00640  Propanoate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KO	0.0145286023289404	7955	1	13	0	biomass_coupled	0	0	3.29834334527656e-08	2.14071828700099e-13	0	6.69693625320878e-08	4.34653188605219e-13	down_subset	2
YER141W	P40086	COX15	54.65792	sce00190  Oxidative phosphorylation sce00860  Porphyrin and chlorophyll metabolism sce01110  Biosynthesis of secondary metabolites	KO	0.00938451132943803	7744	1	7	0	biomass_opt	0	0	0	0	0	1.32436139521611e-13	1.32436139521611e-13	down_subset	2
YBR006W	P38067	UGA2	54.18854	sce00250  Alanine, aspartate and glutamate metabolism sce00310  Lysine degradation sce00350  Tyrosine metabolism sce00650  Butanoate metabolism sce00760  Nicotinate and nicotinamide metabolism	KO	0.00312817044314601	7628	1	6	0	unnecessary_prod	0	0	1.89953484273995e-12	0	1.80013557186632e-13	3.71263838827154e-12	1.80013557186632e-13	down_overlaped	2
YBL015W	P32316	ACH1	58.71137	sce00620  Pyruvate metabolism	KO	0.00187690226588761	7511	1	7	0	biomass_coupled	0	0	0.00165606716810602	1.83992322713058e-12	0	0.00168766334667329	3.73579514089862e-12	down_subset	2
YJR051W	P21375	OSM1	55.06455	sce00NNN  None	KO	0.0018769022658876	7407	1	5	0	unnecessary_prod	0	0	0.00176574463133534	0	0	0.00179943334909927	0	down_subset	2
YER170W	P26364	ADK2	25.19373	sce00230  Purine metabolism sce00730  Thiamine metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	KO	0.000938451132943802	7462	1	5	0	biomass_coupled	0	0	0.00385929902436678	1.14172283156567e-13	0	0.00393293075657975	2.31816335786349e-13	down_subset	2
YBR117C	P33315	TKL2	75.02862	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KO	0	7570	1	10	0	unnecessary_prod	0	0	0.00129627215291889	0	0	0.00132065059392635	0	down_subset	2
