genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YCR105W	P25377	ADH7	39.34808	sce00010  Glycolysis / Gluconeogenesis sce00040  Pentose and glucuronate interconversions sce00561  Glycerolipid metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	1000	7451	1	17	0	essential_tightly_const	2	8.0744772118709e-08	8.07671274814152e-08	8.0744772118709e-08	8.07447721187171e-10	8.50319981214904e-10	8.07447721187171e-10	up_distinct	1
YDR380W	Q06408	ARO10	71.38357	sce00360  Phenylalanine metabolism	OE	1000	8031	1	6	0	essential_tightly_const	2	8.0744772118709e-08	8.07449137765258e-08	8.0744772118709e-08	8.07447721187171e-10	8.07723520083162e-10	8.07447721187171e-10	up_distinct	1
YFR053C	P04806	HXK1	53.73784	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	1000	7233	1	12	0	production_opt	2	0	8.91274925997998e-07	4.93345256533087e-10	0	7.63116620555525e-07	6.79319073779056e-10	up_subset	2
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	OE	1000	7823	1	16	0	production_opt	2	0	0.00367038966220388	7.77221560426603e-12	0	0.00323777514717011	0	up_subset	2
YNL036W	P53615	NCE103	24.85889	sce00910  Nitrogen metabolism	OE	1000	7905	1	4	0	production_opt	2	0	0.0032619632211589	4.77224926346551e-11	0	0.00287748834396854	1.07003527374408e-10	up_subset	2
YBR166C	P20049	TYR1	50.92272	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	36.2843935571184	7398	1	5	0	essential_tightly_const	2	3.12716832904997e-06	3.12718054031851e-06	3.12716832904997e-06	1.47307910894974e-07	1.47332093162669e-07	1.47307910894974e-07	up_distinct	1
YPR060C	P32178	ARO7	29.7468	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	15.8562182516288	7504	1	2	0	essential_tightly_const	2	2.33273298195829e-07	2.33274187819471e-07	2.33273298195829e-07	2.18836377574737e-08	2.18853995004852e-08	2.18836377574737e-08	up_distinct	1
YBR249C	P32449	ARO4	39.74874	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	13.9305829155442	7527	1	12	0	production_opt_tight	2	0	6.94282567175103e-07	6.9427993473452e-07	0	7.29696417082136e-08	7.296443212483e-08	up_subset	2
YGL148W	P28777	ARO2	40.83793	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	13.9305829155442	7481	1	3	0	essential_tightly_const	2	9.73559214555041e-05	9.73562905914473e-05	9.73559214555043e-05	1.02314918919648e-05	1.02322229007176e-05	1.02314918919653e-05	up_distinct	1
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	13.9305829151766	7298	1	14	0	essential_tightly_const	2	5.36266224681858e-06	5.36268257995656e-06	5.36266224681858e-06	5.63581901104463e-07	5.63622167304728e-07	5.63581901104491e-07	up_distinct	1
